critical_count,serious_count,minor_count,inspection_id
1.0,1.0,1.0,2285308
2.0,1.0,1.0,2285311
0.0,0.0,0.0,2285299
2.0,0.0,0.0,2285321
3.0,2.0,1.0,2285304
1.0,0.0,1.0,2285322
2.0,0.0,0.0,2285298
1.0,0.0,2.0,2285292
0.0,0.0,0.0,2285233
2.0,1.0,0.0,2285242
0.0,0.0,0.0,2285236
2.0,1.0,0.0,2285223
2.0,1.0,2.0,2285251
0.0,0.0,1.0,2283194
0.0,1.0,2.0,2285261
4.0,1.0,5.0,2285265
2.0,1.0,1.0,2285212
4.0,2.0,2.0,2285243
2.0,0.0,0.0,2285220
2.0,1.0,2.0,2283207
3.0,1.0,0.0,2285248
0.0,0.0,0.0,2285216
3.0,2.0,1.0,2283193
3.0,0.0,2.0,2285276
2.0,2.0,0.0,2283147
3.0,1.0,1.0,2283157
0.0,0.0,1.0,2283114
2.0,1.0,0.0,2283142
3.0,1.0,1.0,2283149
2.0,2.0,0.0,2283178
1.0,1.0,3.0,2283156
0.0,0.0,1.0,2283181
2.0,1.0,2.0,2283164
2.0,2.0,2.0,2283133
0.0,0.0,1.0,2283152
2.0,0.0,1.0,2283173
2.0,1.0,0.0,2283161
2.0,2.0,0.0,2283162
2.0,1.0,0.0,2283154
2.0,3.0,3.0,2283143
0.0,0.0,1.0,2283126
3.0,1.0,2.0,2283166
1.0,0.0,3.0,2283125
0.0,0.0,0.0,2283146
2.0,2.0,0.0,2283176
2.0,2.0,3.0,2283082
3.0,1.0,1.0,2283098
2.0,2.0,0.0,2283067
0.0,0.0,0.0,2283065
2.0,3.0,1.0,2283085
3.0,2.0,1.0,2283096
3.0,2.0,0.0,2283072
5.0,4.0,3.0,2283106
1.0,0.0,2.0,2283030
0.0,1.0,0.0,2283004
0.0,2.0,1.0,2282985
3.0,2.0,5.0,2283107
2.0,0.0,0.0,2283046
3.0,0.0,1.0,2282976
2.0,2.0,2.0,2282994
2.0,1.0,0.0,2283034
2.0,2.0,0.0,2283050
0.0,0.0,1.0,2283010
0.0,0.0,1.0,2283043
1.0,2.0,1.0,2283021
2.0,0.0,0.0,2282997
3.0,2.0,1.0,2283052
2.0,1.0,2.0,2283019
2.0,2.0,2.0,2282986
3.0,2.0,0.0,2283059
0.0,1.0,0.0,2283042
0.0,0.0,0.0,2282983
1.0,1.0,0.0,2283020
3.0,1.0,5.0,2282998
0.0,0.0,0.0,2283008
3.0,0.0,2.0,2282954
3.0,3.0,2.0,2282947
2.0,1.0,0.0,2282949
